frame=49 key=115
frame=109 key=32
frame=176 key=104
frame=184 key=104
frame=193 key=104
frame=213 key=104
frame=247 key=106
frame=265 key=32
frame=273 key=100
frame=277 key=100
frame=288 key=100
frame=288 key=100
frame=289 key=100
frame=290 key=100
frame=291 key=100
frame=291 key=100
frame=292 key=100
frame=293 key=100
frame=294 key=100
frame=294 key=100
frame=295 key=100
frame=296 key=100
frame=296 key=100
frame=297 key=100
frame=298 key=100
frame=298 key=100
frame=299 key=100
frame=300 key=100
frame=300 key=100
frame=301 key=100
frame=302 key=100
frame=302 key=100
frame=303 key=100
frame=304 key=100
frame=304 key=100
frame=305 key=100
frame=305 key=100
frame=306 key=100
frame=306 key=100
frame=307 key=100
frame=307 key=100
frame=308 key=100
frame=308 key=100
frame=318 key=100
frame=322 key=100
frame=338 key=60
frame=418 key=97
frame=423 key=97
frame=428 key=97
frame=454 key=100
frame=475 key=100
frame=486 key=100
frame=487 key=100
frame=488 key=100
frame=489 key=100
frame=489 key=100
frame=490 key=100
frame=491 key=100
frame=491 key=100
frame=492 key=100
frame=493 key=100
frame=493 key=100
frame=494 key=100
frame=495 key=100
frame=496 key=100
frame=496 key=100
frame=497 key=100
frame=498 key=100
frame=498 key=100
frame=499 key=100
frame=500 key=100
frame=500 key=100
frame=501 key=100
frame=501 key=100
frame=502 key=100
frame=503 key=100
frame=503 key=100
frame=504 key=100
frame=504 key=100
frame=505 key=100
frame=505 key=100
frame=506 key=100
frame=506 key=100
frame=507 key=100
frame=507 key=100
frame=512 key=62
frame=524 key=100
frame=528 key=100
frame=532 key=100
frame=536 key=100
frame=538 key=100
frame=538 key=100
frame=538 key=100
frame=540 key=100
frame=540 key=100
frame=540 key=100
frame=551 key=100
frame=555 key=100
frame=559 key=100
frame=563 key=100
frame=567 key=100
frame=570 key=100
frame=574 key=100
frame=577 key=100
frame=581 key=100
frame=584 key=100
frame=588 key=100
frame=609 key=100
frame=612 key=100
frame=616 key=100
frame=621 key=100
frame=632 key=100
frame=636 key=100
frame=640 key=100
frame=644 key=100
frame=666 key=100
frame=670 key=100
frame=674 key=100
frame=678 key=100
frame=682 key=100
frame=686 key=100
frame=690 key=100
frame=694 key=100
frame=698 key=100
frame=702 key=100
frame=705 key=100
frame=708 key=100
frame=711 key=100
frame=715 key=100
frame=719 key=100
frame=770 key=100
frame=773 key=100
frame=778 key=100
frame=782 key=100
frame=786 key=100
frame=789 key=100
frame=793 key=100
frame=797 key=100
frame=800 key=100
frame=803 key=100
frame=806 key=100
frame=809 key=100
frame=863 key=100
frame=867 key=100
frame=870 key=100
frame=873 key=100
frame=876 key=100
frame=880 key=100
frame=890 key=100
frame=894 key=100
frame=897 key=100
frame=901 key=100
frame=904 key=100
frame=907 key=100
frame=910 key=100
frame=912 key=100
frame=915 key=100
frame=919 key=100
frame=923 key=100
frame=1187 key=100
frame=1198 key=100
frame=1198 key=100
frame=1199 key=100
frame=1200 key=100
frame=1200 key=100
frame=1201 key=100
frame=1202 key=100
frame=1202 key=100
frame=1203 key=100
frame=1203 key=100
frame=1207 key=100
frame=1211 key=100
frame=1213 key=100
frame=1216 key=100
frame=1219 key=100
frame=1223 key=100
frame=1227 key=100
frame=1230 key=100
frame=1234 key=100
frame=1237 key=100
frame=1240 key=100
frame=1244 key=100
frame=1247 key=100
frame=1251 key=100
frame=1254 key=100
frame=1258 key=100
frame=1261 key=100
frame=1264 key=100
frame=1267 key=100
frame=1269 key=100
frame=1272 key=100
frame=1275 key=100
frame=1279 key=100
frame=1282 key=100
frame=1285 key=100
frame=1289 key=100
frame=1292 key=100
frame=1296 key=100
frame=1300 key=100
frame=1303 key=100
frame=1306 key=100
frame=1309 key=100
frame=1311 key=100
frame=1314 key=100
frame=1318 key=100
frame=1321 key=100
frame=1325 key=100
frame=1328 key=100
frame=1332 key=100
frame=1336 key=100
frame=1339 key=100
frame=1343 key=100
frame=1346 key=100
frame=1350 key=100
frame=1354 key=100
frame=1358 key=100
frame=1362 key=100
frame=1365 key=100
frame=1368 key=100
frame=1371 key=100
frame=1374 key=100
frame=1377 key=100
frame=1380 key=100
frame=1383 key=100
frame=1387 key=100
frame=1390 key=100
frame=1394 key=100
frame=1397 key=100
frame=1400 key=100
frame=1403 key=100
frame=1407 key=100
frame=1409 key=100
frame=1412 key=100
frame=1415 key=100
frame=1419 key=100
frame=1434 key=60
frame=1452 key=100
frame=1456 key=100
frame=1459 key=100
frame=1463 key=100
frame=1466 key=100
frame=1693 key=60
frame=1708 key=60
frame=1722 key=100
frame=1726 key=100
frame=1730 key=100
frame=1734 key=100
frame=1737 key=100
frame=1741 key=100
frame=1744 key=100
frame=1748 key=100
frame=1751 key=100
frame=1755 key=100
frame=1765 key=100
frame=1766 key=100
frame=1766 key=100
frame=1767 key=100
frame=1767 key=100
frame=1768 key=100
frame=1769 key=100
frame=1769 key=100
frame=1770 key=100
frame=1770 key=100
frame=1771 key=100
frame=1772 key=100
frame=1772 key=100
frame=1773 key=100
frame=1773 key=100
frame=1774 key=100
frame=1775 key=100
frame=1777 key=100
frame=1781 key=100
frame=1785 key=100
frame=1788 key=100
frame=1792 key=100
frame=1795 key=100
frame=1798 key=100
frame=1801 key=100
frame=1804 key=100
frame=1807 key=100
frame=1809 key=100
frame=1812 key=100
frame=1815 key=100
frame=1819 key=100
frame=1831 key=62
frame=1882 key=62
frame=1900 key=62
frame=1926 key=62
frame=1965 key=97
frame=1972 key=97
frame=1976 key=97
frame=1979 key=97
frame=1983 key=97
frame=1986 key=97
frame=1989 key=97
frame=2000 key=97
frame=2001 key=97
frame=2001 key=97
frame=2002 key=97
frame=2003 key=97
frame=2003 key=97
frame=2004 key=97
frame=2004 key=97
frame=2005 key=97
frame=2005 key=97
frame=2006 key=97
frame=2006 key=97
frame=2010 key=60
frame=2013 key=60
frame=2027 key=60
frame=2042 key=97
frame=2053 key=97
frame=2054 key=97
frame=2054 key=97
frame=2055 key=97
frame=2056 key=97
frame=2056 key=97
frame=2057 key=97
frame=2058 key=97
frame=2059 key=97
frame=2059 key=97
frame=2060 key=97
frame=2061 key=97
frame=2061 key=97
frame=2062 key=97
frame=2063 key=97
frame=2064 key=97
frame=2064 key=97
frame=2065 key=97
frame=2065 key=97
frame=2066 key=97
frame=2067 key=97
frame=2067 key=97
frame=2068 key=97
frame=2068 key=97
frame=2071 key=62
frame=2107 key=100
frame=2112 key=100
frame=2115 key=100
frame=2118 key=100
frame=2122 key=100
frame=2126 key=100
frame=2129 key=100
frame=2133 key=100
frame=2136 key=100
frame=2139 key=100
frame=2143 key=100
frame=2146 key=100
frame=2150 key=100
frame=2154 key=100
frame=2158 key=100
frame=2212 key=100
frame=2216 key=100
frame=2219 key=100
frame=2223 key=100
frame=2227 key=100
frame=2230 key=100
frame=2234 key=100
frame=2238 key=100
frame=2241 key=100
frame=2244 key=100
frame=2248 key=100
frame=2252 key=100
frame=2256 key=100
frame=2260 key=100
frame=2274 key=62
frame=2356 key=100
frame=2368 key=100
frame=2368 key=100
frame=2369 key=100
frame=2370 key=100
frame=2370 key=100
frame=2371 key=100
frame=2372 key=100
frame=2372 key=100
frame=2373 key=100
frame=2374 key=100
frame=2375 key=100
frame=2428 key=100
frame=2440 key=100
frame=2440 key=100
frame=2441 key=100
frame=2442 key=100
frame=2443 key=100
frame=2443 key=100
frame=2444 key=100
frame=2445 key=100
frame=2445 key=100
frame=2446 key=100
frame=2447 key=100
frame=2448 key=100
frame=2448 key=100
frame=2449 key=100
frame=2450 key=100
frame=2451 key=100
frame=2451 key=100
frame=2456 key=60
frame=2461 key=60
frame=2467 key=100
frame=2470 key=100
frame=2474 key=100
frame=2478 key=100
frame=2481 key=100
frame=2493 key=100
frame=2493 key=100
frame=2494 key=100
frame=2495 key=100
frame=2495 key=100
frame=2496 key=100
frame=2497 key=100
frame=2497 key=100
frame=2498 key=100
frame=2499 key=100
frame=2499 key=100
frame=2500 key=100
frame=2500 key=100
frame=2501 key=100
frame=2501 key=100
frame=2502 key=100
frame=2503 key=100
frame=2503 key=100
frame=2504 key=100
frame=2504 key=100
frame=2505 key=100
frame=2505 key=100
frame=2506 key=100
frame=2506 key=100
frame=2507 key=100
frame=2507 key=100
frame=2508 key=100
frame=2508 key=100
frame=2509 key=100
frame=2509 key=100
frame=2510 key=100
frame=2510 key=100
frame=2511 key=100
frame=2511 key=100
frame=2512 key=100
frame=2512 key=100
frame=2513 key=100
frame=2514 key=100
frame=2514 key=100
frame=2515 key=100
frame=2515 key=100
frame=2516 key=100
frame=2517 key=100
frame=2520 key=62
frame=2524 key=62
frame=2528 key=62
frame=2614 key=100
frame=2618 key=100
frame=2622 key=100
frame=2625 key=100
frame=2629 key=100
frame=2632 key=100
frame=2636 key=100
frame=2639 key=100
frame=2642 key=100
frame=2648 key=60
frame=2654 key=60
frame=2661 key=100
frame=2664 key=100
frame=2667 key=100
frame=2670 key=100
frame=2673 key=100
frame=2676 key=100
frame=2680 key=100
frame=2683 key=100
frame=2687 key=100
frame=2690 key=100
frame=2694 key=100
frame=2698 key=100
frame=2701 key=100
frame=2704 key=100
frame=2706 key=100
frame=2709 key=100
frame=2711 key=100
frame=2714 key=100
frame=2718 key=100
frame=2722 key=100
frame=2726 key=100
frame=2729 key=100
frame=2733 key=100
frame=2737 key=100
frame=2741 key=100
frame=2744 key=100
frame=2748 key=100
frame=2837 key=100
frame=2841 key=100
frame=2844 key=100
frame=2848 key=100
frame=2892 key=100
frame=2895 key=100
frame=2899 key=100
frame=2902 key=100
frame=2926 key=100
frame=2930 key=100
frame=2933 key=100
frame=2943 key=100
frame=2944 key=100
frame=2945 key=100
frame=2945 key=100
frame=2946 key=100
frame=2947 key=100
frame=2947 key=100
frame=2948 key=100
frame=2949 key=100
frame=2949 key=100
frame=2953 key=100
frame=2957 key=100
frame=2961 key=100
frame=2965 key=100
frame=2968 key=100
frame=2971 key=100
frame=2974 key=100
frame=2977 key=100
frame=2981 key=100
frame=2985 key=100
frame=2988 key=100
frame=2991 key=100
frame=2995 key=100
frame=2998 key=100
frame=3009 key=60
frame=3012 key=60
frame=3018 key=100
frame=3021 key=100
frame=3024 key=100
frame=3027 key=100
frame=3031 key=100
frame=3035 key=100
frame=3056 key=62
frame=3059 key=62
frame=3063 key=62
frame=3066 key=62
frame=3069 key=97
frame=3078 key=97
frame=3079 key=97
frame=3080 key=97
frame=3080 key=97
frame=3081 key=97
frame=3081 key=97
frame=3082 key=97
frame=3083 key=97
frame=3083 key=97
frame=3084 key=97
frame=3084 key=97
frame=3085 key=97
frame=3086 key=97
frame=3086 key=97
frame=3087 key=97
frame=3088 key=97
frame=3088 key=97
frame=3089 key=97
frame=3089 key=97
frame=3090 key=97
frame=3091 key=97
frame=3091 key=97
frame=3092 key=97
frame=3092 key=97
frame=3093 key=97
frame=3094 key=97
frame=3094 key=97
